name,image_filepath,original_image_url,party,state,chamber,district
Lisa Hango,/Users/patrick/nra_score_map/img/vt/LHango.jpg,https://legislature.vermont.gov/Documents/Legislators/LHango.jpg,Republican,vt,House,Franklin-5
Jane Kitchel,/Users/patrick/nra_score_map/img/vt/Kitchel.Jane.jpg,https://legislature.vermont.gov/Documents/Legislators/Kitchel.Jane.jpg,Democratic,vt,Senate,Caledonia
Lawrence Cupoli,/Users/patrick/nra_score_map/img/vt/Cupoli.Larry.jpg,https://legislature.vermont.gov/Documents/Legislators/Cupoli.Larry.jpg,Republican,vt,House,Rutland-5-2
Maida Townsend,/Users/patrick/nra_score_map/img/vt/MTownsend.jpg,https://legislature.vermont.gov/Documents/Legislators/MTownsend.jpg,Democratic,vt,House,Chittenden-7-4
Terry Norris,/Users/patrick/nra_score_map/img/vt/Norris.Terry.jpg,https://legislature.vermont.gov/Documents/Legislators/Norris.Terry.jpg,Independent,vt,House,Addison-Rutland
Selene Colburn,/Users/patrick/nra_score_map/img/vt/SColburn.jpg,https://legislature.vermont.gov/Documents/Legislators/SColburn.jpg,Progressive,vt,House,Chittenden-6-4
Warren F. Kitzmiller,/Users/patrick/nra_score_map/img/vt/Kitzmiller.W.jpg,https://legislature.vermont.gov/Documents/Legislators/Kitzmiller.W.jpg,Democratic,vt,House,Washington-4
Kathryn Webb,/Users/patrick/nra_score_map/img/vt/KWebb.jpg,https://legislature.vermont.gov/Documents/Legislators/KWebb.jpg,Democratic,vt,House,Chittenden-5-1
Jean O'Sullivan,/Users/patrick/nra_score_map/img/vt/O'Sullivan.Jean.jpg,https://legislature.vermont.gov/Documents/Legislators/O'Sullivan.Jean.jpg,Democratic,vt,House,Chittenden-6-2
Thomas Stevens,/Users/patrick/nra_score_map/img/vt/Stevens.Thomas.jpg,https://legislature.vermont.gov/Documents/Legislators/Stevens.Thomas.jpg,Democratic,vt,House,Washington-Chittenden
Alice W. Nitka,/Users/patrick/nra_score_map/img/vt/ANitka.jpg,https://legislature.vermont.gov/Documents/Legislators/ANitka.jpg,Democratic,vt,Senate,Windsor
Curt Taylor,/Users/patrick/nra_score_map/img/vt/Taylor.Curt.jpg,https://legislature.vermont.gov/Documents/Legislators/Taylor.Curt.jpg,Democratic,vt,House,Chittenden-9-1
Jeanette K. White,/Users/patrick/nra_score_map/img/vt/JWhite.jpg,https://legislature.vermont.gov/Documents/Legislators/JWhite.jpg,Democratic,vt,Senate,Windham
Patrick Brennan,/Users/patrick/nra_score_map/img/vt/Brennan.Patrick.jpg,https://legislature.vermont.gov/Documents/Legislators/Brennan.Patrick.jpg,Republican,vt,House,Chittenden-9-2
Mari Cordes,/Users/patrick/nra_score_map/img/vt/Cordes.Mari.jpg,https://legislature.vermont.gov/Documents/Legislators/Cordes.Mari.jpg,Democratic,vt,House,Addison-4
Brian Cina,/Users/patrick/nra_score_map/img/vt/Cina.Brian.jpg,https://legislature.vermont.gov/Documents/Legislators/Cina.Brian.jpg,Progressive/Democratic,vt,House,Chittenden-6-4
William Canfield,/Users/patrick/nra_score_map/img/vt/Canfield.William.jpg,https://legislature.vermont.gov/Documents/Legislators/Canfield.William.jpg,Republican,vt,House,Rutland-3
Samuel Young,/Users/patrick/nra_score_map/img/vt/Young.Sam.jpg,https://legislature.vermont.gov/Documents/Legislators/Young.Sam.jpg,Democratic,vt,House,Orleans-Caledonia
Kimberly Jessup,/Users/patrick/nra_score_map/img/vt/KJessup.jpg,https://legislature.vermont.gov/Documents/Legislators/KJessup.jpg,Democratic,vt,House,Washington-5
"Virginia ""Ginny"" Lyons",/Users/patrick/nra_score_map/img/vt/Lyons.Ginny.jpg,https://legislature.vermont.gov/Documents/Legislators/Lyons.Ginny.jpg,Democratic,vt,Senate,Chittenden
Linda Joy Sullivan,/Users/patrick/nra_score_map/img/vt/Sullivan.Linda.jpg,https://legislature.vermont.gov/Documents/Legislators/Sullivan.Linda.jpg,Democratic,vt,House,Bennington-Rutland
Paul Lefebvre,/Users/patrick/nra_score_map/img/vt/PLefebvre.jpg,https://legislature.vermont.gov/Documents/Legislators/PLefebvre.jpg,Republican,vt,House,Essex-Caledonia-Orleans
Harvey Smith,/Users/patrick/nra_score_map/img/vt/Smith.Harvey.jpg,https://legislature.vermont.gov/Documents/Legislators/Smith.Harvey.jpg,Republican,vt,House,Addison-5
Marcia Gardner,/Users/patrick/nra_score_map/img/vt/MGardner.jpg,https://legislature.vermont.gov/Documents/Legislators/MGardner.jpg,Democratic,vt,House,Chittenden-1
Dylan Giambatista,/Users/patrick/nra_score_map/img/vt/Giambatista.D.jpg,https://legislature.vermont.gov/Documents/Legislators/Giambatista.D.jpg,Democratic,vt,House,Chittenden-8-2
Heidi E. Scheuermann,/Users/patrick/nra_score_map/img/vt/Scheuerman.Heidi.jpg,https://legislature.vermont.gov/Documents/Legislators/Scheuerman.Heidi.jpg,Republican,vt,House,Lamoille-1
Jessica Brumsted,/Users/patrick/nra_score_map/img/vt/JBrumsted.jpg,https://legislature.vermont.gov/Documents/Legislators/JBrumsted.jpg,Democratic,vt,House,Chittenden-5-2
James Harrison,/Users/patrick/nra_score_map/img/vt/JHarrison.jpg,https://legislature.vermont.gov/Documents/Legislators/JHarrison.jpg,Republican,vt,House,Rutland-Windsor-1
Mary E. Howard,/Users/patrick/nra_score_map/img/vt/Howard.Mary.jpg,https://legislature.vermont.gov/Documents/Legislators/Howard.Mary.jpg,Democratic,vt,House,Rutland-5-3
Mary Sullivan,/Users/patrick/nra_score_map/img/vt/MSullivan.jpg,https://legislature.vermont.gov/Documents/Legislators/MSullivan.jpg,Democratic,vt,House,Chittenden-6-5
Carl Rosenquist,/Users/patrick/nra_score_map/img/vt/Rosenquist.Carl.jpg,https://legislature.vermont.gov/Documents/Legislators/Rosenquist.Carl.jpg,Republican,vt,House,Franklin-1
Christopher Bray,/Users/patrick/nra_score_map/img/vt/Bray.Christopher.jpg,https://legislature.vermont.gov/Documents/Legislators/Bray.Christopher.jpg,Democratic,vt,Senate,Addison
Maxine Grad,/Users/patrick/nra_score_map/img/vt/Grad.Maxine.jpg,https://legislature.vermont.gov/Documents/Legislators/Grad.Maxine.jpg,Democratic,vt,House,Washington-7
"Charles ""Butch"" Shaw",/Users/patrick/nra_score_map/img/vt/Shaw.Butch.jpg,https://legislature.vermont.gov/Documents/Legislators/Shaw.Butch.jpg,Republican,vt,House,Rutland-6
Carolyn W. Partridge,/Users/patrick/nra_score_map/img/vt/Partridge.C.jpg,https://legislature.vermont.gov/Documents/Legislators/Partridge.C.jpg,Democratic,vt,House,Windham-3
Scott Beck,/Users/patrick/nra_score_map/img/vt/SBeck.jpg,https://legislature.vermont.gov/Documents/Legislators/SBeck.jpg,Republican,vt,House,Caledonia-3
Christopher Mattos,/Users/patrick/nra_score_map/img/vt/CMattos.jpg,https://legislature.vermont.gov/Documents/Legislators/CMattos.jpg,Republican,vt,House,Chittenden-10
Matthew Hill,/Users/patrick/nra_score_map/img/vt/MHill.jpg,https://legislature.vermont.gov/Documents/Legislators/MHill.jpg,Democratic,vt,House,Lamoille-2
Diana Gonzalez,/Users/patrick/nra_score_map/img/vt/Gonzalez.Diana.jpg,https://legislature.vermont.gov/Documents/Legislators/Gonzalez.Diana.jpg,Progressive,vt,House,Chittenden-6-7
Robert LaClair,/Users/patrick/nra_score_map/img/vt/LaCLair.Robert.jpg,https://legislature.vermont.gov/Documents/Legislators/LaCLair.Robert.jpg,Republican,vt,House,Washington-2
Amy Sheldon,/Users/patrick/nra_score_map/img/vt/Sheldon.Amy.jpg,https://legislature.vermont.gov/Documents/Legislators/Sheldon.Amy.jpg,Democratic,vt,House,Addison-1
